zipcode,Level 1,Level 2,Level 3,Level 4
382110,Fangadi,Ahmedabad,Gujarat,India
382465,Fatepur,Ahmedabad,Gujarat,India
382210,Fatewadi,Ahmedabad,Gujarat,India
382465,Fedra,Ahmedabad,Gujarat,India
363610,Galsana,Ahmedabad,Gujarat,India
382120,Gamanpura,Ahmedabad,Gujarat,India
382435,Gamdi,Ahmedabad,Gujarat,India
382465,Gamph,Ahmedabad,Gujarat,India
380027,Gandhi Ashram,Ahmedabad,Gujarat,India
380001,Gandhi Road,Ahmedabad,Gujarat,India
382240,Gangad,Ahmedabad,Gujarat,India
382265,Ganol,Ahmedabad,Gujarat,India
382115,Garodia,Ahmedabad,Gujarat,India
382449,Gatrad,Ahmedabad,Gujarat,India
382435,Geratpur,Ahmedabad,Gujarat,India
382140,Ghatisana,Ahmedabad,Gujarat,India
380061,Ghatlodia,Ahmedabad,Gujarat,India
380001,Gheekanta Road,Ahmedabad,Gujarat,India
382150,Ghoda,Ahmedabad,Gujarat,India
380050,Ghodasar,Ahmedabad,Gujarat,India
380058,Ghuma,Ahmedabad,Gujarat,India
380004,Girdharnagar,Ahmedabad,Gujarat,India
382425,Girmatha,Ahmedabad,Gujarat,India
380022,Gita Mandir road,Ahmedabad,Gujarat,India
382255,Godhavata,Ahmedabad,Gujarat,India
382115,Godhavi,Ahmedabad,Gujarat,India
382463,Gogla,Ahmedabad,Gujarat,India
380021,Gomtipur,Ahmedabad,Gujarat,India
382150,Goraiya,Ahmedabad,Gujarat,India
382110,Goraj,Ahmedabad,Gujarat,India
382463,Gorasu,Ahmedabad,Gujarat,India
382481,Gota,Ahmedabad,Gujarat,India
380060,Gujarat High court,Ahmedabad,Gujarat,India
